product_name,norm_name,source,deal_count,created_at
"BIRD’S CUSTARD POWDER – 600g","bird’s custard powder – 600g","both",4,"2026-04-17 10:01:10"
"Ching’s Soup Tomato – 55gm","ching’s soup tomato – 55gm","inactive",4,"2026-04-17 10:01:10"
"Haldiram’s Bhujia Export Pack (200g*2)","haldiram’s bhujia export pack (200g*2)","inactive",4,"2026-04-17 10:01:10"
"Ching’s Hot & Sour Soup – 55gm","ching’s hot & sour soup – 55gm","inactive",3,"2026-04-17 10:01:10"
"Cycle Lia Nature Gift Agarbatti’s  90gm + Free Agarbathi Cone","cycle lia nature gift agarbatti’s  90gm + free agarbathi cone","inactive",3,"2026-04-17 10:01:10"
"Haldiram’s Bhujia 200g Export Pack","haldiram’s bhujia 200g export pack","inactive",3,"2026-04-17 10:01:10"
"Haldiram’s Dakshin Kerala Mixture 180g","haldiram’s dakshin kerala mixture 180g","inactive",3,"2026-04-17 10:01:10"
"Haldiram’s Dal Makhani Ready To Eat 300g","haldiram’s dal makhani ready to eat 300g","inactive",3,"2026-04-17 10:01:10"
"Haldiram’s Dal Palak Ready To Eat 300g","haldiram’s dal palak ready to eat 300g","inactive",3,"2026-04-17 10:01:10"
"Haldiram’s Mini Bhakharwadi 200g","haldiram’s mini bhakharwadi 200g","inactive",3,"2026-04-17 10:01:10"
"Chheda’s Salt-n-Pepper Banana Chips – 170 Gms","chheda’s salt-n-pepper banana chips – 170 gms","inactive",2,"2026-04-17 10:01:11"
"Ching’s Chowmein Hakka Noodels Masala 20G","ching’s chowmein hakka noodels masala 20g","inactive",2,"2026-04-17 10:01:11"
"Ching’s Paneer chilli Masala 20G","ching’s paneer chilli masala 20g","inactive",2,"2026-04-17 10:01:11"
"Ching’s Secret Hot Garlic Noodles – 60gm","ching’s secret hot garlic noodles – 60gm","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Gulabjamun 1kg Tin","haldiram’s gulabjamun 1kg tin","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Kaju Mixture – 200gm","haldiram’s kaju mixture – 200gm","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Kashmiri Mixture 200g","haldiram’s kashmiri mixture 200g","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Minute Khana Pao Bhaji – 300gm","haldiram’s minute khana pao bhaji – 300gm","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Mutter Paneer Ready To Eat 300g(Vegan)","haldiram’s mutter paneer ready to eat 300g(vegan)","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Paneer Makhani Ready To Eat 300g","haldiram’s paneer makhani ready to eat 300g","inactive",2,"2026-04-17 10:01:11"
"Haldiram’s Tea time Khari Puff (multi grain) 200gm Export Pack","haldiram’s tea time khari puff (multi grain) 200gm export pack","inactive",2,"2026-04-17 10:01:11"
"Luster’s Pink Oil Moisturizer Lotion Hair Lotion 355ml","luster’s pink oil moisturizer lotion hair lotion 355ml","inactive",2,"2026-04-17 10:01:11"
"Narasu’s Pure Instant Coffee Powder 100g","narasu’s pure instant coffee powder 100g","inactive",2,"2026-04-17 10:01:11"
"10 inch Steel Tongue Drum","10 inch steel tongue drum","inactive",1,"2026-04-17 10:01:12"
"10 Pairs Mink Eyelashes Clear Band","10 pairs mink eyelashes clear band","inactive",1,"2026-04-17 10:01:12"
"10-Piece Paint Brushes Set","10-piece paint brushes set","inactive",1,"2026-04-17 10:01:12"
"101 Inch WiFi Digital Photo Frame IPS Touch Screen","101 inch wifi digital photo frame ips touch screen","inactive",1,"2026-04-17 10:01:12"
"1026-inch Pnd Wireless Carplay Car MP5 Player","1026-inch pnd wireless carplay car mp5 player","inactive",1,"2026-04-17 10:01:12"
"1500mAh Mini Pod Keychain Charger","1500mah mini pod keychain charger","inactive",1,"2026-04-17 10:01:12"
"15W Magnetic Power Bank Wireless","15w magnetic power bank wireless","inactive",1,"2026-04-17 10:01:12"
"15W Magnetic Wireless Mouse Pad Charger","15w magnetic wireless mouse pad charger","inactive",1,"2026-04-17 10:01:12"
"1x Rakhi Bracelet (Bracelet can vary)","1x rakhi bracelet (bracelet can vary)","inactive",1,"2026-04-17 10:01:12"
"2 In 1 Phone Screen Cleaner Spray","2 in 1 phone screen cleaner spray","inactive",1,"2026-04-17 10:01:12"
"2-in-1 Car Cup Warmer & Cooler, 12V","2-in-1 car cup warmer & cooler, 12v","inactive",1,"2026-04-17 10:01:12"
"2-In-1 Smart Watch And Wireless Earbuds","2-in-1 smart watch and wireless earbuds","inactive",1,"2026-04-17 10:01:12"
