product_name,norm_name,source,deal_count,created_at
"Heera Puffed Rice (Mamra) 200g - Exp 30.05.2026","heera puffed rice (mamra) 200g - exp 30.05.2026","both",10,"2026-04-17 10:01:10"
"Ganesha Aufhängebild mit Schlüsselbrett (38x16x3cm)","ganesha aufhängebild mit schlüsselbrett (38x16x3cm)","inactive",8,"2026-04-17 10:01:10"
"Heera Mulethi Whole (Liquorice) 100g - Exp 28.02.2026","heera mulethi whole (liquorice) 100g - exp 28.02.2026","both",8,"2026-04-17 10:01:10"
"Heera Banafsha 28g - Exp 28.02.2026","heera banafsha 28g - exp 28.02.2026","both",7,"2026-04-17 10:01:10"
"Heera Linseed (Alsi) 400g - Exp 30.01.2026","heera linseed (alsi) 400g - exp 30.01.2026","both",7,"2026-04-17 10:01:10"
"Heera Puffed Rice (Bhel Mamra) 200g  - Exp 30.05.2026","heera puffed rice (bhel mamra) 200g  - exp 30.05.2026","both",7,"2026-04-17 10:01:10"
"Heera Dariya Whole 300g - Exp 28.02.2026","heera dariya whole 300g - exp 28.02.2026","both",6,"2026-04-17 10:01:10"
"Heera Soan Papdi 500g - Exp 14.07.2026","heera soan papdi 500g - exp 14.07.2026","both",6,"2026-04-17 10:01:10"
"Heera Woods Agarbatti 15g","heera woods agarbatti 15g","inactive",6,"2026-04-17 10:01:10"
"Heera Almonds 100g - Exp 27.02.2026","heera almonds 100g - exp 27.02.2026","both",5,"2026-04-17 10:01:10"
"Heera Butter Ghee","heera butter ghee","inactive",5,"2026-04-17 10:01:10"
"Heera Cashew Nuts 100g - Exp 31.01.2026","heera cashew nuts 100g - exp 31.01.2026","both",5,"2026-04-17 10:01:10"
"Heera Citric Acid 100g [Best Before: End Oct 2025]","heera citric acid 100g [best before: end oct 2025]","both",5,"2026-04-17 10:01:10"
"Heera Lapsi (Broken Wheat) - Fine 500gm","heera lapsi (broken wheat) - fine 500gm","both",5,"2026-04-17 10:01:10"
"Heera Mamra 200g","heera mamra 200g","both",5,"2026-04-17 10:01:10"
"Heera Rice Flakes / Powa Medium 300g","heera rice flakes / powa medium 300g","both",5,"2026-04-17 10:01:10"
"Heera Round Chillies (Whole) 200gm","heera round chillies (whole) 200gm","both",5,"2026-04-17 10:01:10"
"Heera Tamarind Sauce 500ml","heera tamarind sauce 500ml","both",5,"2026-04-17 10:01:10"
"Heera Thread Mishri 400g - Exp 30.12.2026","heera thread mishri 400g - exp 30.12.2026","both",5,"2026-04-17 10:01:10"
"BIRD’S CUSTARD POWDER – 600g","bird’s custard powder – 600g","both",4,"2026-04-17 10:01:10"
"Ching’s Soup Tomato – 55gm","ching’s soup tomato – 55gm","inactive",4,"2026-04-17 10:01:10"
